date	hits	geo	time	keyword	gprop	category
2019-02-10	32	US	today 12-m	apple	web	0
2019-02-17	33	US	today 12-m	apple	web	0
2019-02-24	31	US	today 12-m	apple	web	0
2019-03-03	32	US	today 12-m	apple	web	0
2019-03-10	32	US	today 12-m	apple	web	0
2019-03-17	33	US	today 12-m	apple	web	0
2019-03-24	38	US	today 12-m	apple	web	0
2019-03-31	32	US	today 12-m	apple	web	0
2019-04-07	31	US	today 12-m	apple	web	0
2019-04-14	32	US	today 12-m	apple	web	0
2019-04-21	31	US	today 12-m	apple	web	0
2019-04-28	31	US	today 12-m	apple	web	0
2019-05-05	31	US	today 12-m	apple	web	0
2019-05-12	31	US	today 12-m	apple	web	0
2019-05-19	32	US	today 12-m	apple	web	0
2019-05-26	32	US	today 12-m	apple	web	0
2019-06-02	38	US	today 12-m	apple	web	0
2019-06-09	33	US	today 12-m	apple	web	0
2019-06-16	33	US	today 12-m	apple	web	0
2019-06-23	33	US	today 12-m	apple	web	0
2019-06-30	33	US	today 12-m	apple	web	0
2019-07-07	32	US	today 12-m	apple	web	0
2019-07-14	34	US	today 12-m	apple	web	0
2019-07-21	33	US	today 12-m	apple	web	0
2019-07-28	34	US	today 12-m	apple	web	0
2019-08-04	34	US	today 12-m	apple	web	0
2019-08-11	35	US	today 12-m	apple	web	0
2019-08-18	36	US	today 12-m	apple	web	0
2019-08-25	55	US	today 12-m	apple	web	0
2019-09-01	100	US	today 12-m	apple	web	0
2019-09-08	96	US	today 12-m	apple	web	0
2019-09-15	83	US	today 12-m	apple	web	0
2019-09-22	65	US	today 12-m	apple	web	0
2019-09-29	46	US	today 12-m	apple	web	0
2019-10-06	44	US	today 12-m	apple	web	0
2019-10-13	43	US	today 12-m	apple	web	0
2019-10-20	41	US	today 12-m	apple	web	0
2019-10-27	42	US	today 12-m	apple	web	0
2019-11-03	40	US	today 12-m	apple	web	0
2019-11-10	45	US	today 12-m	apple	web	0
2019-11-17	43	US	today 12-m	apple	web	0
2019-11-24	65	US	today 12-m	apple	web	0
2019-12-01	47	US	today 12-m	apple	web	0
2019-12-08	41	US	today 12-m	apple	web	0
2019-12-15	42	US	today 12-m	apple	web	0
2019-12-22	58	US	today 12-m	apple	web	0
2019-12-29	42	US	today 12-m	apple	web	0
2020-01-05	38	US	today 12-m	apple	web	0
2020-01-12	36	US	today 12-m	apple	web	0
2020-01-19	36	US	today 12-m	apple	web	0
2020-01-26	33	US	today 12-m	apple	web	0
2019-02-03	65	US	today 12-m	netflix	web	0
2019-02-10	64	US	today 12-m	netflix	web	0
2019-02-17	67	US	today 12-m	netflix	web	0
2019-02-24	60	US	today 12-m	netflix	web	0
2019-03-03	61	US	today 12-m	netflix	web	0
2019-03-10	61	US	today 12-m	netflix	web	0
2019-03-17	61	US	today 12-m	netflix	web	0
2019-03-24	60	US	today 12-m	netflix	web	0
2019-03-31	60	US	today 12-m	netflix	web	0
2019-04-07	58	US	today 12-m	netflix	web	0
2019-04-14	61	US	today 12-m	netflix	web	0
2019-04-21	58	US	today 12-m	netflix	web	0
2019-04-28	61	US	today 12-m	netflix	web	0
2019-05-05	61	US	today 12-m	netflix	web	0
2019-05-12	59	US	today 12-m	netflix	web	0
2019-05-19	62	US	today 12-m	netflix	web	0
2019-05-26	71	US	today 12-m	netflix	web	0
2019-06-02	65	US	today 12-m	netflix	web	0
2019-06-09	63	US	today 12-m	netflix	web	0
2019-06-16	66	US	today 12-m	netflix	web	0
2019-06-23	65	US	today 12-m	netflix	web	0
2019-06-30	67	US	today 12-m	netflix	web	0
2019-07-07	66	US	today 12-m	netflix	web	0
2019-07-14	68	US	today 12-m	netflix	web	0
2019-07-21	65	US	today 12-m	netflix	web	0
2019-07-28	65	US	today 12-m	netflix	web	0
2019-08-04	61	US	today 12-m	netflix	web	0
2019-08-11	58	US	today 12-m	netflix	web	0
2019-08-18	63	US	today 12-m	netflix	web	0
2019-08-25	61	US	today 12-m	netflix	web	0
2019-09-01	62	US	today 12-m	netflix	web	0
2019-09-08	56	US	today 12-m	netflix	web	0
2019-09-15	60	US	today 12-m	netflix	web	0
2019-09-22	59	US	today 12-m	netflix	web	0
2019-09-29	57	US	today 12-m	netflix	web	0
2019-10-06	61	US	today 12-m	netflix	web	0
2019-10-13	58	US	today 12-m	netflix	web	0
2019-10-20	61	US	today 12-m	netflix	web	0
2019-10-27	62	US	today 12-m	netflix	web	0
2019-11-03	62	US	today 12-m	netflix	web	0
2019-11-10	61	US	today 12-m	netflix	web	0
2019-11-17	57	US	today 12-m	netflix	web	0
2019-11-24	66	US	today 12-m	netflix	web	0
2019-12-01	56	US	today 12-m	netflix	web	0
2019-12-08	56	US	today 12-m	netflix	web	0
2019-12-15	65	US	today 12-m	netflix	web	0
2019-12-22	85	US	today 12-m	netflix	web	0
2019-12-29	100	US	today 12-m	netflix	web	0
2020-01-05	79	US	today 12-m	netflix	web	0
2020-01-12	73	US	today 12-m	netflix	web	0
2020-01-19	76	US	today 12-m	netflix	web	0
2020-01-26	66	US	today 12-m	netflix	web	0
2019-02-03	87	US	today 12-m	google	web	0
2019-02-10	85	US	today 12-m	google	web	0
2019-02-17	79	US	today 12-m	google	web	0
2019-02-24	85	US	today 12-m	google	web	0
2019-03-03	85	US	today 12-m	google	web	0
2019-03-10	82	US	today 12-m	google	web	0
2019-03-17	85	US	today 12-m	google	web	0
2019-03-24	81	US	today 12-m	google	web	0
2019-03-31	81	US	today 12-m	google	web	0
2019-04-07	85	US	today 12-m	google	web	0
2019-04-14	76	US	today 12-m	google	web	0
2019-04-21	82	US	today 12-m	google	web	0
2019-04-28	87	US	today 12-m	google	web	0
2019-05-05	87	US	today 12-m	google	web	0
2019-05-12	88	US	today 12-m	google	web	0
2019-05-19	82	US	today 12-m	google	web	0
2019-05-26	70	US	today 12-m	google	web	0
2019-06-02	70	US	today 12-m	google	web	0
2019-06-09	64	US	today 12-m	google	web	0
2019-06-16	59	US	today 12-m	google	web	0
2019-06-23	57	US	today 12-m	google	web	0
2019-06-30	53	US	today 12-m	google	web	0
2019-07-07	57	US	today 12-m	google	web	0
2019-07-14	56	US	today 12-m	google	web	0
2019-07-21	56	US	today 12-m	google	web	0
2019-07-28	56	US	today 12-m	google	web	0
2019-08-04	58	US	today 12-m	google	web	0
2019-08-11	66	US	today 12-m	google	web	0
2019-08-18	74	US	today 12-m	google	web	0
2019-08-25	82	US	today 12-m	google	web	0
2019-09-01	81	US	today 12-m	google	web	0
2019-09-08	96	US	today 12-m	google	web	0
2019-09-15	99	US	today 12-m	google	web	0
2019-09-22	100	US	today 12-m	google	web	0
2019-09-29	97	US	today 12-m	google	web	0
2019-10-06	92	US	today 12-m	google	web	0
2019-10-13	92	US	today 12-m	google	web	0
2019-10-20	97	US	today 12-m	google	web	0
2019-10-27	90	US	today 12-m	google	web	0
2019-11-03	93	US	today 12-m	google	web	0
2019-11-10	92	US	today 12-m	google	web	0
2019-11-17	95	US	today 12-m	google	web	0
2019-11-24	65	US	today 12-m	google	web	0
2019-12-01	92	US	today 12-m	google	web	0
2019-12-08	91	US	today 12-m	google	web	0
2019-12-15	81	US	today 12-m	google	web	0
2019-12-22	52	US	today 12-m	google	web	0
2019-12-29	54	US	today 12-m	google	web	0
2020-01-05	81	US	today 12-m	google	web	0
2020-01-12	83	US	today 12-m	google	web	0
2020-01-19	81	US	today 12-m	google	web	0
2020-01-26	83	US	today 12-m	google	web	0
